Date,B1,B2,B3,B4,B5,P1
"Saturday, May 3, 2025",10,21,23,35,65,24
"Wednesday, April 30, 2025",1,2,3,57,59,9
"Monday, April 28, 2025",26,43,51,56,60,24
"Saturday, April 26, 2025",1,12,14,18,69,2
"Wednesday, April 23, 2025",15,44,63,66,69,20
"Monday, April 21, 2025",4,33,45,46,51,25
"Saturday, April 19, 2025",7,25,37,39,63,1
"Wednesday, April 16, 2025",20,24,42,43,49,19
"Monday, April 14, 2025",3,20,30,52,62,1
"Saturday, April 12, 2025",16,22,44,45,53,19
"Wednesday, April 9, 2025",4,29,37,55,67,10
"Monday, April 7, 2025",20,23,48,59,66,4
"Saturday, April 5, 2025",4,23,30,46,62,2
"Wednesday, April 2, 2025",5,17,41,64,69,1
"Monday, March 31, 2025",12,41,44,52,64,25
"Saturday, March 29, 2025",7,11,21,53,61,2
"Wednesday, March 26, 2025",5,20,29,39,53,6
"Monday, March 24, 2025",6,23,35,36,47,12
"Saturday, March 22, 2025",6,7,25,46,57,12
"Wednesday, March 19, 2025",8,11,21,49,59,15
"Monday, March 17, 2025",11,18,23,38,60,9
"Saturday, March 15, 2025",12,28,33,36,54,5
"Wednesday, March 12, 2025",11,13,28,51,58,1
"Monday, March 10, 2025",17,40,47,50,55,6
"Saturday, March 8, 2025",2,4,16,23,63,13
"Wednesday, March 5, 2025",24,28,40,63,65,20
"Monday, March 3, 2025",18,20,50,52,56,20
"Saturday, March 1, 2025",2,23,36,44,49,25
"Wednesday, February 26, 2025",28,48,55,60,62,20
"Monday, February 24, 2025",10,11,34,59,68,14
"Saturday, February 22, 2025",7,18,22,50,65,15
"Wednesday, February 19, 2025",6,21,28,49,60,20
"Monday, February 17, 2025",4,44,47,52,57,9
"Saturday, February 15, 2025",3,16,45,54,56,12
"Wednesday, February 12, 2025",21,32,36,45,49,18
"Monday, February 10, 2025",2,17,18,29,43,3
"Saturday, February 8, 2025",23,44,57,60,62,9
"Wednesday, February 5, 2025",19,27,30,50,62,14
"Monday, February 3, 2025",12,37,47,54,60,17
"Saturday, February 1, 2025",23,29,32,49,61,8
"Wednesday, January 29, 2025",8,12,31,33,38,18
"Monday, January 27, 2025",2,40,47,53,55,20
"Saturday, January 25, 2025",8,15,17,53,66,14
"Wednesday, January 22, 2025",5,6,27,40,49,5
"Monday, January 20, 2025",15,16,32,47,54,6
"Saturday, January 18, 2025",14,31,35,64,69,23
"Wednesday, January 15, 2025",8,41,52,53,58,7
"Monday, January 13, 2025",4,6,16,39,66,9
"Saturday, January 11, 2025",3,6,32,37,65,4
"Wednesday, January 8, 2025",1,20,36,38,43,24
"Monday, January 6, 2025",17,34,46,66,67,14
"Saturday, January 4, 2025",26,32,43,54,56,24
"Wednesday, January 1, 2025",6,12,28,35,66,26
"Monday, December 30, 2024",9,19,33,38,39,1
"Saturday, December 28, 2024",6,31,51,54,55,12
"Wednesday, December 25, 2024",15,26,27,30,35,3
"Monday, December 23, 2024",22,42,44,57,64,18
"Saturday, December 21, 2024",1,12,17,21,58,1
"Wednesday, December 18, 2024",6,15,18,33,49,7
"Monday, December 16, 2024",9,30,33,57,61,17
"Saturday, December 14, 2024",12,17,23,52,67,1
"Wednesday, December 11, 2024",13,44,50,52,54,20
"Monday, December 9, 2024",35,37,40,45,51,24
"Saturday, December 7, 2024",1,31,43,55,57,22
"Wednesday, December 4, 2024",1,23,25,28,61,13
"Monday, December 2, 2024",3,9,26,61,67,13
"Saturday, November 30, 2024",4,24,29,39,63,25
"Wednesday, November 27, 2024",1,6,7,13,40,5
"Monday, November 25, 2024",5,25,45,60,63,12
"Saturday, November 23, 2024",12,13,34,44,67,8
"Wednesday, November 20, 2024",16,30,60,62,64,25
"Monday, November 18, 2024",27,31,41,52,69,26
"Saturday, November 16, 2024",21,22,25,32,38,16
"Wednesday, November 13, 2024",9,20,26,43,58,9
"Monday, November 11, 2024",3,21,24,34,46,9
"Saturday, November 9, 2024",11,24,50,56,66,16
"Wednesday, November 6, 2024",12,17,37,58,62,4
"Monday, November 4, 2024",6,18,33,48,53,21
"Saturday, November 2, 2024",10,45,48,58,61,2
"Wednesday, October 30, 2024",13,22,29,43,58,22
"Monday, October 28, 2024",21,27,32,48,67,17
"Saturday, October 26, 2024",8,12,40,45,51,15
"Wednesday, October 23, 2024",2,15,27,29,39,20
"Monday, October 21, 2024",1,25,57,62,64,15
"Saturday, October 19, 2024",7,16,19,45,64,25
"Wednesday, October 16, 2024",4,30,39,44,60,11
"Monday, October 14, 2024",14,18,33,64,67,14
"Saturday, October 12, 2024",5,14,20,41,57,6
"Wednesday, October 9, 2024",25,32,43,53,66,10
"Monday, October 7, 2024",18,30,31,52,63,22
"Saturday, October 5, 2024",2,12,46,52,65,3
"Wednesday, October 2, 2024",1,2,21,37,43,21
"Monday, September 30, 2024",9,11,30,43,69,20
"Saturday, September 28, 2024",3,11,13,24,39,22
"Wednesday, September 25, 2024",2,26,45,46,52,21
"Monday, September 23, 2024",15,21,25,37,45,19
"Saturday, September 21, 2024",17,19,21,37,45,14
"Wednesday, September 18, 2024",1,11,22,47,68,7
"Monday, September 16, 2024",8,9,11,27,31,17
"Saturday, September 14, 2024",29,34,38,48,56,16
"Wednesday, September 11, 2024",10,12,55,65,67,3
"Monday, September 9, 2024",1,16,21,47,60,5
"Saturday, September 7, 2024",14,34,37,55,63,20
"Wednesday, September 4, 2024",7,10,21,33,59,20
"Monday, September 2, 2024",8,42,46,48,53,22
"Saturday, August 31, 2024",4,34,35,38,69,19
"Wednesday, August 28, 2024",5,33,47,50,64,20
"Monday, August 26, 2024",2,4,23,68,69,15
"Saturday, August 24, 2024",5,15,21,24,43,17
"Wednesday, August 21, 2024",27,31,33,38,67,3
"Monday, August 19, 2024",1,2,15,23,28,10
